"Formes";"Texte1";"Texte2";"Texte3";"Texte4";"Texte5";"Texte6";"Texte7";"Texte8";"Texte9";"Texte10";"Texte11";"Texte12"
"cinc";0;0;0;0;0;0;0;0;0;1;0;0
"cist";1;0;0;0;0;0;0;0;0;0;0;0
"clam";0;0;0;0;1;0;0;0;0;0;0;0
"clama";0;0;0;1;0;0;0;0;0;0;0;0
"clamatz";0;0;0;0;1;0;0;0;0;0;0;0
"clams";0;0;0;0;0;1;0;0;0;0;0;0
"clan";0;1;0;0;0;0;0;0;0;0;0;0
"clar";0;0;0;0;0;0;0;1;0;0;0;0
"clars";0;0;0;1;0;0;0;0;0;0;0;0
"clausa";0;0;0;0;0;0;0;0;0;0;1;0
"cnn";0;0;0;0;0;0;0;1;0;0;0;0
"cobeeza";0;0;1;0;0;0;0;0;0;0;0;0
"cobeitatz";0;0;1;0;0;0;0;0;0;0;0;0
"coberta";0;0;1;0;0;0;0;0;0;0;0;0
"cobleiars";0;0;0;0;0;0;0;0;0;0;0;1
"cobrar";0;0;0;0;0;0;0;0;0;0;1;0
"cobres";0;0;0;0;0;1;0;0;0;0;0;0
"cobrir";0;0;0;0;0;0;0;0;0;0;0;2
"cocha";0;0;1;0;0;0;0;0;0;0;0;0
"coimais";0;0;0;0;0;0;0;0;0;1;0;0
"coitar";0;0;0;0;0;1;0;0;0;0;0;0
"col";0;1;0;0;0;0;0;0;0;0;0;0
"colors";0;0;0;0;0;1;0;0;0;0;0;0
"com";0;1;0;0;2;3;2;1;0;2;0;1
"coman";0;0;0;0;0;0;1;1;0;0;1;0
"comanda";0;0;0;0;0;0;0;0;1;0;0;0
"comans";0;0;0;0;1;0;0;0;0;0;0;0
"comortz";0;0;0;0;1;0;0;0;0;0;0;0
"complaing";0;0;0;0;0;0;0;1;0;0;0;0
"complir";0;0;0;0;0;0;0;0;0;0;1;1
"comprar";1;0;0;0;0;0;0;0;0;0;0;0
"comtessa";0;0;0;0;0;0;0;0;1;0;0;0
"confortz";0;0;0;0;1;0;0;0;0;0;0;0
"conogues";0;0;0;0;0;0;1;0;0;0;0;1
"conogut";0;0;0;0;0;0;1;0;0;0;0;0
"conois";0;0;0;0;0;0;1;0;0;0;0;0
"conoisser";0;0;0;0;0;0;0;0;0;0;0;1
"conor";0;0;0;0;0;0;0;0;0;0;0;1
"conortan";0;0;0;0;0;0;0;0;0;0;1;0
"conortz";0;0;0;0;1;0;0;0;0;0;0;0
"conosc";0;0;0;0;0;0;0;0;0;1;0;0
"conoscant";1;0;0;0;0;0;0;0;0;0;0;0
"conqer";0;0;0;0;0;0;0;0;0;1;0;0
"conqerer";0;0;0;0;0;0;0;0;0;1;0;0
"conquerir";0;0;0;0;0;0;0;1;0;0;0;0
"conquist";0;0;0;0;0;0;0;1;0;0;0;0
"consec";0;0;1;0;0;0;0;0;0;0;0;0
"contatz";0;0;0;0;1;0;0;0;0;0;0;0
"contraclau";1;0;0;0;0;0;0;0;0;0;0;0
"contral";0;0;1;0;0;0;0;0;0;0;0;0
"contrals";0;0;0;0;0;1;0;0;0;0;0;0
"cor";0;0;1;0;0;0;1;2;2;0;2;0
"coral";0;0;0;0;0;0;0;0;1;0;0;1
"cors";0;0;0;3;1;1;0;4;2;2;2;1
"cortes";1;0;0;0;1;0;0;0;2;0;0;0
"cortesa";0;0;0;0;0;0;0;0;0;0;0;1
"cortesia";0;0;0;0;0;0;1;0;0;0;1;0
"cossenta";0;0;0;0;0;0;0;0;0;0;1;0
"cossir";0;0;0;0;0;0;0;1;0;0;0;0
"cossiriers";0;0;0;0;0;0;0;0;0;0;1;0
"cossiros";0;0;0;0;0;1;0;0;0;0;0;0
"couen";0;0;0;0;1;1;0;2;0;0;0;0
"couengut";0;0;0;0;0;0;1;0;0;0;0;0
"couens";0;0;0;0;0;1;0;0;0;0;0;0
"couers";0;0;0;1;0;0;0;0;0;0;0;0
"cregues";0;0;0;0;0;1;0;0;0;0;0;0
"creia";0;0;0;0;0;0;0;0;0;1;0;0
"creiran";0;0;0;1;0;0;0;0;0;0;0;0
"creiria";0;0;0;0;0;0;0;0;0;0;0;1
"creis";0;0;1;0;0;0;0;0;0;0;0;0
"criclal";0;1;0;0;0;0;0;0;0;0;0;0
"cubert";1;0;0;0;0;0;0;0;0;0;0;0
"cudaran";0;0;0;0;0;0;0;0;0;0;1;0
"cui";2;0;2;2;0;1;0;2;4;1;1;1
"cuia";0;0;1;0;0;0;0;0;0;0;0;0
"cuich";0;0;0;0;0;0;0;0;0;0;0;1
"cuida";0;1;0;0;0;0;0;0;0;0;0;0
"cuidar";0;0;0;0;0;0;0;0;0;0;1;0
"cuidars";0;0;0;0;1;0;0;0;0;0;0;0
"cuidatz";0;0;0;1;0;0;0;0;0;0;0;0
